Steps;Cars
192300;141
192600;146
192900;148
193200;149
193500;134
193800;156
194100;126
194400;154
194700;134
195000;161
195300;134
195600;157
195900;148
196200;14
196500;136
196800;133
197100;123
197400;146
197700;143
198000;126
198300;139
198600;145
198900;148
199200;152
199500;142
199800;142
200100;145
200400;139
200700;147
201000;119
201300;125
201600;135
201900;15
202200;117
202500;145
202800;144
203100;138
203400;14
203700;145
204000;14
204300;133
204600;161
204900;133
205200;139
205500;154
205800;143
206100;149
206400;157
206700;132
207000;134
207300;128
207600;137
207900;153
208200;137
208500;146
208800;14
209100;143
209400;147
209700;132
210000;156
210300;145
210600;133
210900;157
211200;148
211500;15
211800;144
212100;144
212400;14
212700;149
213000;134
213300;147
213600;138
213900;139
214200;147
214500;138
214800;143
215100;151
215400;145
215700;14
216000;138
216300;147
216600;139
216900;126
217200;124
217500;155
217800;139
218100;131
218400;144
218700;148
219000;137
219300;137
219600;144
219900;151
220200;139
220500;132
220800;152
221100;141
221400;162
221700;137
222000;135
222300;126
222600;146
222900;13
223200;145
223500;149
223800;129
224100;15
224400;147
224700;139
225300;136
225600;155
225900;139
226200;155
226500;15
226800;145
227100;128
227400;146
227700;144
228000;138
228300;153
228600;132
228900;127
229200;15
229500;144
229800;149
230100;14
230400;127
230700;125
231000;122
231300;132
231600;148
231900;149
232200;146
232500;137
232800;152
233100;138
233400;135
233700;146
234000;153
234300;123
234600;143
234900;151
235200;144
235500;139
235800;152
236100;127
236400;144
236700;141
237000;142
237300;144
237600;138
237900;151
238200;142
238500;143
238800;147
239100;152
239400;12
239700;102
240000;98
240300;121
240600;122
240900;128
241200;132
241500;136
241800;83
242100;46
242400;144
242700;163
243000;157
243300;149
243600;141
243900;148
244200;144
244500;137
244800;149
245100;154
245400;151
245700;132
246000;15
246300;136
246600;134
246900;139
247200;139
247500;13
247800;145
248100;161
248400;144
248700;145
249000;141
249300;125
249600;122
249900;133
250200;14
250500;147
250800;139
251100;145
251400;144
251700;134
252000;139
252300;138
252600;153
252900;143
253200;145
253500;144
253800;132
254100;135
254400;134
254700;144
255000;135
255300;135
255600;144
255900;141
256200;131
256500;138
256800;144
257100;144
257400;142
257700;145
258000;147
258300;149
258600;145
258900;142
259200;146
259500;147
259800;142
260100;146
260400;142
260700;148
261000;133
261300;145
261600;14
261900;136
262200;151
262500;143
262800;147
263100;14
263400;117
263700;152
264000;119
264300;159
264600;143
264900;152
265200;144
265500;138
265800;134
266100;144
266400;142
266700;138
267000;138
267300;141
267600;146
267900;148
268200;149
268500;134
268800;156
269100;126
269400;154
269700;134
270000;161
270300;134
270600;157
270900;148
271200;14
271500;136
271800;133
272100;123
272400;146
272700;143
273000;126
273300;139
273600;145
273900;148
274200;152
274500;142
274800;142
275100;145
275400;139
275700;147
276000;119
276300;125
276600;135
276900;15
277200;117
277500;145
277800;144
278100;138
278400;14
278700;145
279000;14
279300;133
279600;161
279900;133
280200;139
280500;154
280800;143
281100;149
281400;157
281700;132
282000;134
282300;128
282600;137
282900;153
283200;137
283500;146
283800;14
284100;143
284400;147
284700;132
285000;156
285300;145
285600;133
285900;157
286200;148
286500;15
286800;144
287100;144
287400;14
287700;149
288000;134
288300;147
288600;138
288900;139
289200;147
289500;138
289800;143
290100;151
290400;145
290700;14
291000;138
291300;147
291600;139
291900;126
292200;124
292500;155
292800;139
293100;131
293400;144
293700;148
294000;137
294300;137
294600;144
294900;151
295200;139
295500;132
295800;152
296100;141
296400;162
296700;137
297000;135
297300;126
297600;146
297900;13
298200;145
298500;149
298800;129
299100;15
299400;147
299700;139
300300;136
300600;155
300900;139
301200;155
301500;15
301800;145
302100;128
302400;146
302700;144
303000;138
303300;153
303600;132
303900;127
304200;15
304500;144
304800;149
305100;14
305400;127
305700;125
306000;122
306300;132
306600;148
306900;149
307200;146
307500;137
307800;152
308100;138
308400;135
308700;146
309000;153
309300;123
309600;143
309900;151
310200;144
310500;139
310800;152
311100;127
311400;144
311700;141
312000;142
312300;144
312600;138
312900;151
313200;142
313500;143
313800;147
314100;152
314400;12
314700;102
315000;98
315300;121
315600;122
315900;128
316200;132
316500;136
316800;83
317100;46
317400;144
317700;163
318000;157
318300;149
318600;141
318900;148
319200;144
319500;137
319800;149
320100;154
320400;151
320700;132
321000;15
321300;136
321600;134
321900;139
322200;139
322500;13
322800;145
323100;161
323400;144
323700;145
324000;141
324300;125
324600;122
324900;133
325200;14
325500;147
325800;139
326100;145
326400;144
326700;134
327000;139
327300;138
327600;153
327900;143
328200;145
328500;144
328800;132
329100;135
329400;134
329700;144
330000;135
330300;135
330600;144
330900;141
331200;131
331500;138
331800;144
332100;144
332400;142
332700;145
333000;147
333300;149
333600;145
333900;142
334200;146
334500;147
334800;142
335100;146
335400;142
335700;148
336000;133
336300;145
336600;14
336900;136
337200;151
337500;143
337800;147
338100;14
338400;117
338700;152
339000;119
339300;159
339600;143
339900;152
340200;144
340500;138
340800;134
341100;144
341400;142
341700;138
342000;138
342300;141
342600;146
342900;148
343200;149
343500;134
343800;156
344100;126
344400;154
344700;134
345000;161
345300;134
345600;157
345900;148
346200;14
346500;136
346800;133
347100;123
347400;146
347700;143
348000;126
348300;139
348600;145
348900;148
349200;152
349500;142
349800;142
350100;145
350400;139
350700;147
351000;119
351300;125
351600;135
351900;15
352200;117
352500;145
352800;144
353100;138
353400;14
353700;145
354000;14
354300;133
354600;161
354900;133
355200;139
355500;154
355800;143
356100;149
356400;157
356700;132
357000;134
357300;128
357600;137
357900;153
358200;137
358500;146
358800;14
359100;143
359400;147
359700;132
360000;156
360300;145
360600;133
360900;157
361200;148
361500;15
361800;144
362100;144
362400;14
362700;149
363000;134
363300;147
363600;138
363900;139
364200;147
364500;138
364800;143
365100;151
365400;145
365700;14
366000;138
366300;147
366600;139
366900;126
367200;124
367500;155
367800;139
368100;131
368400;144
368700;148
369000;137
369300;137
369600;144
369900;151
370200;139
370500;132
370800;152
371100;141
371400;162
371700;137
372000;135
372300;126
372600;146
372900;13
373200;145
373500;149
373800;129
374100;15
374400;147
374700;139
375300;136
375600;155
375900;139
376200;155
376500;15
376800;145
377100;128
377400;146
377700;144
378000;138
378300;153
378600;132
378900;127
379200;15
379500;144
379800;149
380100;14
380400;127
380700;125
381000;122
381300;132
381600;148
381900;149
382200;146
382500;137
382800;152
383100;138
383400;135
383700;146
384000;153
384300;123
384600;143
384900;151
385200;144
385500;139
385800;152
386100;127
386400;144
386700;141
387000;142
387300;144
387600;138
387900;151
388200;142
388500;143
388800;147
389100;152
389400;12
389700;102
390000;98
390300;121
390600;122
390900;128
391200;132
391500;136
391800;83
392100;46
392400;144
392700;163
393000;157
393300;149
393600;141
393900;148
394200;144
394500;137
394800;149
395100;154
395400;151
395700;132
396000;15
396300;136
396600;134
396900;139
397200;139
397500;13
397800;145
398100;161
398400;144
398700;145
399000;141
399300;125
399600;122
399900;133
400200;14
400500;147
400800;139
401100;145
401400;144
401700;134
402000;139
402300;138
402600;153
402900;143
403200;145
403500;144
403800;132
404100;135
404400;134
404700;144
405000;135
405300;135
405600;144
405900;141
406200;131
406500;138
406800;144
407100;144
407400;142
407700;145
408000;147
408300;149
408600;145
408900;142
409200;146
409500;147
409800;142
410100;146
410400;142
410700;148
411000;133
411300;145
411600;14
411900;136
412200;151
412500;143
412800;147
413100;14
413400;117
413700;152
414000;119
414300;159
414600;143
414900;152
415200;144
415500;138
415800;134
416100;144
416400;142
416700;138
417000;138
417300;141
417600;146
417900;148
418200;149
418500;134
418800;156
419100;126
419400;154
419700;134
420000;161
420300;134
420600;157
420900;148
421200;14
421500;136
421800;133
422100;123
422400;146
422700;143
423000;126
423300;139
423600;145
423900;148
424200;152
424500;142
424800;142
425100;145
425400;139
425700;147
426000;119
426300;125
426600;135
426900;15
427200;117
427500;145
427800;144
428100;138
428400;14
428700;145
429000;14
429300;133
429600;161
429900;133
430200;139
430500;154
430800;143
431100;149
431400;157
431700;132
432000;134
432300;128
432600;137
432900;153
433200;137
433500;146
433800;14
434100;143
434400;147
434700;132
435000;156
435300;145
435600;133
435900;157
436200;148
436500;15
436800;144
437100;144
437400;14
437700;149
438000;134
438300;147
438600;138
438900;139
439200;147
439500;138
439800;143
440100;151
440400;145
440700;14
441000;138
441300;147
441600;139
441900;126
442200;124
442500;155
442800;139
443100;131
443400;144
443700;148
444000;137
444300;137
444600;144
444900;151
445200;139
445500;132
445800;152
446100;141
446400;162
446700;137
447000;135
447300;126
447600;146
447900;13
448200;145
448500;149
448800;129
449100;15
449400;147
449700;139
450300;136
450600;155
450900;139
451200;155
451500;15
451800;145
452100;128
452400;146
452700;144
453000;138
453300;153
453600;132
453900;127
454200;15
454500;144
454800;149
455100;14
455400;127
455700;125
456000;122
456300;132
456600;148
456900;149
457200;146
457500;137
457800;152
